Type,Parent,Corpus,Nom,Mappage Surgenre-COLaF,Mappage Genre-COLaF,Mappage-MotsClef-COLAF,Commentaire
Supergenre,,UD,Fiction,Fiction,,,
Supergenre,,UD,Non fiction,NonFiction,,,
Supergenre,,UD,Web,Web,,,
Supergenre,,UD,Spoken,Spoken,,,
Supergenre,,UD,Poetry,Fiction,fiction-poetry,,
Supergenre,,UD,Bible,Fiction,fiction-bible,,
Supergenre,,UD,Press,NonFiction,nonfiction-press,,
Supergenre,,UD,Academic,NonFiction,nonfiction-academic,,
Supergenre,,UD,Legal,NonFiction,nonfiction-legal,,
Supergenre,,UD,Government,NonFiction,nonfiction-administrative,,
Supergenre,,UD,email,NonFiction,nonfiction-interractive,Documents web,
Supergenre,,UD,Wiki,Web,web-wiki,Documents web,
Supergenre,,UD,Reviews,Web,nonfiction-press,Documents web,
Supergenre,,UD,blog,Web,web-blog,Documents web,
Supergenre,,UD,learner-essays,NonFiction,nonfiction-learningmaterials,,peu d'exemple
Supergenre,,UD,grammar-examples,NonFiction,nonfiction-learningmaterials,,peu d'exemple
Supergenre,,UD,social,Web,web-social,,
Supergenre,,Brown,PRESS,NonFiction,nonfiction-press,,
Genre,PRESS,Brown,Reportage,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Reportage,Brown,Political,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Reportage,Brown,Sport,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Reportage,Brown,Society,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Reportage,Brown,Spot News,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Reportage,Brown,Financial,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Reportage,Brown,Cultural,NonFiction,nonfiction-press,Domaines Presse,
Genre,PRESS,Brown,Editorial,NonFiction,nonfiction-press,Domaines Presse,
Genre,Editorial,Brown,Institutional Daily,NonFiction,nonfiction-press,Domaines Presse,
Genre,Editorial,Brown,Personal,NonFiction,nonfiction-press,Domaines Presse,
Genre,Editorial,Brown,Letters to the Editor,NonFiction,nonfiction-press,Domaines Presse,
Genre,PRESS,Brown,Reviews,NonFiction,nonfiction-press,Domaines Presse,
Sous-genre,Reviews,Brown,theatre,NonFiction,nonfiction-press,,
Sous-genre,Reviews,Brown,books,NonFiction,nonfiction-press,,
Sous-genre,Reviews,Brown,music,NonFiction,nonfiction-press,,
Sous-genre,Reviews,Brown,dance,NonFiction,nonfiction-press,,
Supergenre,,Brown,RELIGION,Fiction,fiction-bible,,
Sous-genre,RELIGION,Brown,Books,Fiction,fiction-bible,Format,
Sous-genre,RELIGION,Brown,Periodicals,Fiction,fiction-bible,Format,
Sous-genre,RELIGION,Brown,Tracts,Fiction,fiction-bible,Format,
Supergenre,,Brown,SKILL AND HOBBIES,NonFiction,,,
Sous-genre,SKILL AND HOBBIES,Brown,Books,NonFiction,,Format,
Supergenre,SKILL AND HOBBIES,Brown,Periodicals,NonFiction,,Format,
Supergenre,,Brown,POPULAR LORE,NonFiction,,,
Sous-genre,POPULAR LORE,Brown,Books,NonFiction,,Format,
Sous-genre,POPULAR LORE,Brown,Periodicals,NonFiction,,Format,
Supergenre,,Brown,BELLES-LETTRES,NonFiction,,,
Genre,BELLES-LETTRES,Brown,Biography,NonFiction,,Format,
Genre,BELLES-LETTRES,Brown,Memoirs,NonFiction,,Format,
Sous-genre,BELLES-LETTRES,Brown,Books,NonFiction,,Format,
Sous-genre,BELLES-LETTRES,Brown,Periodicals,NonFiction,,Format,
Supergenre,,Brown,MISCELLANEOUS,,,,non présent dans les supergenres actuel mais intéressant
Genre,MISCELLANEOUS,Brown,US Governement and House Organs,NonFiction,nonfiction-administrative,,
Sous-genre,MISCELLANEOUS,Brown,Government Documents,NonFiction,nonfiction-administrative,,
Sous-genre,MISCELLANEOUS,Brown,Foundation Reports,NonFiction,,,Mots de documents administratifs
Sous-genre,MISCELLANEOUS,Brown,Industry Reports,NonFiction,,,Mots de documents administratifs
Sous-genre,MISCELLANEOUS,Brown,College Catalog,NonFiction,nonfiction-reference,,Mots de documents administratifs
Sous-genre,MISCELLANEOUS,Brown,Industry House organ,NonFiction,,,Mots de documents administratifs
Sous-genre,,Brown,LEARNED,NonFiction,nonfiction-learningmaterials,,
Sous-genre,LEARNED,Brown,Natural Sciences,NonFiction,,Matieres Academiques,
Sous-genre,LEARNED,Brown,Medicine,NonFiction,,Matieres Academiques,
Sous-genre,LEARNED,Brown,Mathematics,NonFiction,,Matieres Academiques,
Sous-genre,LEARNED,Brown,Social and Behavioral Sciences,NonFiction,,Matieres Academiques,
Sous-genre,LEARNED,Brown,"Political Science, Law, Education",NonFiction,,Matieres Academiques,
Sous-genre,LEARNED,Brown,Humanities,NonFiction,,Matieres Academiques,
Sous-genre,LEARNED,Brown,Technology and Engineering,NonFiction,,Matieres Academiques,
Supergenre,,Brown,FICTION,Fiction,,,
Genre,FICTION,Brown,General,Fiction,,Genres Littéraires,
Sous-genre,FICTION,Brown,Novels,Fiction,,Genres Littéraires,
Sous-genre,FICTION,Brown,Short Stories,Fiction,,Genres Littéraires,
Genre,FICTION,Brown,Mystery and Detective Fiction,Fiction,,Genres Littéraires,
Genre,FICTION,Brown,Science,Fiction,,Genres Littéraires,
